BoroCD *,Shape *,FID_STP_NTA_HVI_PGI_REFERENCE,OBJECTID,BoroName,BoroCT2010,PUMA,NTAName,NTACode,Shape_Leng,Borough,ONENYC_HVI,QUINTILES,PGI,PGI_Percent,PGI_High_Low,FID_STP_Neighborhood_Planting_Cycle,BoroCode,BoroName,CommunityBoardWater,CouncilDistrictWater,Zone ID,SUM_Planting_Potential_Cut,Year,Zone_Before,Zone_After,Contract_Area_Percentage,Year_Group,Borough_Year_Group,Phase,Unique,Full_Year,Shape_Length,Shape_Area,Ratio
2974,Polygon,1939,1814,Manhattan,1004400,3808,Stuyvesant Town-Cooper Village,MN50,9684.574456,1,-2.606559,1,0.055001,5.5,Low,167,3,Brooklyn,301,33,8,179,9,17588773.06,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK01338_2035_3,2035,365.82808,5849.035285,15.98848094
761,Polygon,306,270,Brooklyn,3024200,4014,Borough Park,BK88,6964.549393,3,0.420306,3,0.077196,7.72,High,220,3,Brooklyn,311,43,5,205,7,11343241.63,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK11435_2033_3,2033,625.561003,5879.497489,9.398759611
1948,Polygon,1265,1186,Queens,4063301,4110,Glendale,QN19,5599.182468,4,-1.690514,2,0.057629,5.76,Low,311,4,Queens,405,32,7,564,6,54895956.61,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN05327_2032_2,2032,362.449329,5905.899284,16.29441362
700,Polygon,258,222,Brooklyn,3017900,4004,Fort Greene,BK68,5359.199113,3,1.137472,4,0.047199,4.72,Low,171,3,Brooklyn,302,35,4,202,1,6699998.62,<Null>,<Null>,3-Jan,"Brooklyn, Year 1-3",Phase 1,BK02354_2027_1,2027,865.523443,6077.27594,7.021503564
2293,Polygon,1509,1424,Brooklyn,3014300,4005,Park Slope-Gowanus,BK37,6695.930713,3,0.086083,3,0.042902,4.29,Low,198,3,Brooklyn,307,38,1,186,3,44572588.21,<Null>,<Null>,3-Jan,"Brooklyn, Year 1-3",Phase 1,BK07381_2029_1,2029,974.978468,6241.221488,6.401394177
3175,Polygon,2045,1913,Bronx,2006300,3708,West Concourse,BX63,20115.09691,2,2.204345,5,0.108007,10.8,High,81,2,Bronx,204,16,3,161,9,18012068.19,<Null>,<Null>,9-Jul,"Bronx, Year 7-9",Phase 3,BX04163_2035_3,2035,618.235339,7120.273928,11.51709305
564,Polygon,164,128,Manhattan,1021303,3802,Manhattanville,MN06,7254.34324,1,2.520683,5,0.081263,8.13,High,50,1,Manhattan,109,7,1,134,5,15750378.64,<Null>,<Null>,6-Apr,"Manhattan, Year 4-6",Phase 2,MN09071_2031_2,2031,587.806816,7265.830269,12.36091531
3015,Polygon,1968,1838,Manhattan,1014500,3806,Lincoln Square,MN14,5897.719054,1,-2.04639,1,0.040957,4.1,Low,25,1,Manhattan,105,6,2,156,1,3290584.458,<Null>,<Null>,3-Jan,"Manhattan, Year 1-3",Phase 1,MN05062_2027_1,2027,614.674631,7953.298465,12.93903809
2485,Polygon,1628,1536,Brooklyn,3011900,4005,Park Slope-Gowanus,BK37,15290.00895,3,1.129299,4,0.042902,4.29,Low,201,3,Brooklyn,307,39,4,163,9,16790727.08,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK07394_2035_3,2035,374.756549,8144.416009,21.73255152
2683,Polygon,1748,1642,Brooklyn,3002100,4004,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,12551.2651,3,-1.022194,2,0.047199,4.72,Low,170,3,Brooklyn,302,33,3,238,7,19505741.27,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK02333_2033_3,2033,848.012633,8363.644646,9.86264157
